Champion1_Blue,Champion2_Blue,Champion3_Blue,Champion4_Blue,Champion5_Blue,Champion1_Red,Champion2_Red,Champion3_Red,Champion4_Red,Champion5_Red,Result
Graves,Diana,Talon,Twitch,Janna,Ashe,Taliyah,Irelia,Corki,Soraka,Blue
KSante,Karthus,Corki,Aphelios,Janna,Zilean,Taliyah,Irelia,Caitlyn,Ashe,Red
Renekton,Evelynn,Zed,Caitlyn,Qiyana,Darius,Zeri,Morgana,Zilean,Janna,Blue
Akali,Khazix,Leblanc,Caitlyn,Leona,Riven,LeeSin,Viktor,Varus,Lux,Blue
Warwick,Lillia,Hwei,Lucian,Nami,Ryze,Rengar,Ivern,Kalista,Ashe,Blue
Tryndamere,Khazix,Viktor,Draven,MissFortune,Hwei,LeeSin,Sivir,Sion,Sona,Red
Viktor,Taliyah,Gnar,Kalista,Nautilus,Jayce,Jax,Zilean,Ziggs,Alistar,Red
Volibear,Zed,Hwei,Veigar,Rell,Renekton,Brand,Corki,MissFortune,Seraphine,Red
Kennen,Rengar,Tristana,Aphelios,Lulu,Gragas,Jax,Corki,Draven,Nami,Red
Aatrox,Taliyah,TwistedFate,Samira,Blitzcrank,Camille,Brand,Cassiopeia,Lucian,Nami,Red
Renekton,Corki,Elise,Varus,Leona,KSante,MasterYi,Annie,Jhin,Nautilus,Blue
Poppy,Jax,Hwei,Kalista,Rumble,Kennen,Udyr,Corki,Jhin,Xerath,Blue
Camille,Udyr,Tristana,Zeri,Pyke,Warwick,Nidalee,Corki,KogMaw,Braum,Blue
Aatrox,Taliyah,Corki,Zeri,Rell,Gragas,Udyr,Orianna,Caitlyn,Braum,Blue
Mordekaiser,Kindred,Corki,Aphelios,Seraphine,Camille,Briar,Talon,Xerath,Senna,Red
Malphite,Khazix,Gragas,Jhin,Corki,Talon,Lillia,Sylas,Zeri,Janna,Red
Gnar,Taliyah,Talon,Karthus,Zyra,Trundle,Nidalee,Akshan,Jhin,Bard,Blue
Camille,Shen,Orianna,Jhin,Nami,Aatrox,Graves,Syndra,Caitlyn,Rumble,Red
Kennen,JarvanIV,Ahri,Jhin,Seraphine,Aatrox,Taliyah,Irelia,Zeri,Lulu,Blue
Skarner,Lillia,Irelia,Zeri,Lulu,KSante,Viego,Hwei,Jinx,Nautilus,Red
Nasus,Nidalee,Zed,Draven,Milio,Gwen,Rumble,Tristana,Twitch,Rakan,Red
Darius,Shyvana,Zac,Corki,Nami,Leblanc,Nidalee,Tristana,Caitlyn,Pyke,Blue
Olaf,Kindred,Leblanc,Twitch,Milio,DrMundo,LeeSin,Qiyana,Jhin,Leona,Blue
KSante,Viego,Ahri,Corki,Rell,Aatrox,Lillia,Tristana,Jinx,Leona,Red
Quinn,LeeSin,TwistedFate,Aphelios,Rell,Jax,Taliyah,Corki,Twitch,Janna,Blue
Sion,Nunu,Corki,Draven,Zyra,Volibear,Taliyah,Zed,Lucian,Sona,Red
Camille,Skarner,Neeko,Corki,Nautilus,Gwen,LeeSin,Leblanc,Caitlyn,Braum,Red
Malphite,Lillia,Zed,Jinx,Milio,TwistedFate,Sylas,AurelionSol,Draven,Thresh,Red
Vayne,MasterYi,Orianna,Samira,Janna,Kayle,Taliyah,Qiyana,Tristana,Braum,Blue
Briar,Skarner,Rumble,Jinx,Rell,Camille,Taliyah,Tristana,Corki,Alistar,Blue
Jax,Rumble,Tristana,Jinx,Lulu,Warwick,Viego,Diana,Twitch,Annie,Red
Quinn,Nidalee,Corki,Caitlyn,Nautilus,Skarner,Brand,Taliyah,Kalista,Alistar,Blue
Akali,Khazix,TwistedFate,Corki,Nautilus,Jax,Brand,Rakan,Jhin,Rell,Blue
Singed,Karthus,Katarina,Caitlyn,Braum,Camille,Khazix,Neeko,Kalista,Renata,Red
Olaf,Viego,Ahri,Jinx,Seraphine,Volibear,Graves,Veigar,Kalista,Rell,Red
Camille,Viego,Viktor,Aphelios,Seraphine,Jax,Graves,Akali,Jinx,Rell,Red
Gnar,Viego,Orianna,Lucian,Nami,Neeko,Taliyah,Corki,Samira,Rell,Red
Garen,Lillia,Yasuo,Lucian,Nami,Volibear,Taliyah,Talon,Caitlyn,Sona,Red
Kennen,Hecarim,Yasuo,Caitlyn,Morgana,Irelia,LeeSin,Katarina,Twitch,Thresh,Red
Camille,Ivern,Malzahar,Corki,Seraphine,Skarner,Graves,Leblanc,Lucian,Nautilus,Blue
Skarner,Kayn,Ahri,Draven,Braum,Camille,MasterYi,Taliyah,Jinx,Milio,Red
Gragas,Graves,Orianna,Varus,Leona,Rumble,Kayn,Garen,Caitlyn,Nautilus,Blue
TwistedFate,JarvanIV,Galio,Corki,Nami,Jax,Poppy,Katarina,Varus,Ashe,Blue
Rumble,LeeSin,Pantheon,Jinx,Thresh,KSante,Viego,Hwei,Samira,Janna,Red
TwistedFate,Nidalee,Tristana,Jinx,Braum,Jax,Taliyah,Leblanc,Aphelios,Thresh,Red
Camille,Nunu,Syndra,Varus,Braum,Urgot,Taliyah,Kassadin,Zeri,Alistar,Red
Rumble,Viego,Zed,Caitlyn,Nami,Camille,Volibear,Leblanc,Jinx,Soraka,Red
Gnar,Nidalee,Lux,Caitlyn,Corki,Urgot,Graves,Sylas,Kaisa,Neeko,Blue
Sylas,Viego,Brand,Kaisa,Annie,Jax,LeeSin,Syndra,Senna,Nautilus,Red
Sion,Graves,Vladimir,Ezreal,Karma,Vayne,LeeSin,Viktor,Singed,Nautilus,Blue
Vayne,MasterYi,Taliyah,Lucian,Milio,Camille,Neeko,Karthus,Jhin,Thresh,Red
Camille,Diana,Corki,Jhin,Braum,Darius,Taliyah,Graves,Caitlyn,Bard,Red
Mordekaiser,Evelynn,Quinn,Corki,Hwei,Kayle,Taliyah,Akali,Jinx,Sona,Red
Garen,Kindred,Hwei,KogMaw,Soraka,Ornn,Velkoz,Rammus,Jinx,Milio,Blue
Renekton,Taliyah,Quinn,Caitlyn,Hwei,Ryze,Graves,Qiyana,Jinx,Sona,Red
Riven,Jax,Akali,Kaisa,Sona,Ryze,Kindred,Swain,Jinx,Blitzcrank,Blue
Darius,Morgana,Jayce,Ezreal,Skarner,Camille,LeeSin,Azir,Caitlyn,Karma,Blue
Illaoi,Viego,Ahri,Caitlyn,Pyke,Smolder,Rammus,Jhin,Tristana,Rumble,Red
Katarina,XinZhao,Hwei,Caitlyn,Zyra,Volibear,Viego,Akali,Jinx,Nautilus,Red
Camille,LeeSin,Taliyah,Caitlyn,Lux,Soraka,Nidalee,Volibear,Draven,Pyke,Blue
Camille,Rammus,Tristana,Aphelios,Soraka,Mordekaiser,Lillia,Zed,Lucian,Nami,Blue
Tryndamere,Talon,Leblanc,Vladimir,Alistar,Corki,Lillia,Zed,Samira,Blitzcrank,Red
Aatrox,Graves,Taliyah,Senna,Nautilus,KSante,Gragas,Qiyana,Caitlyn,TahmKench,Blue
Jayce,Brand,Draven,Tristana,Nami,Illaoi,Nidalee,Taliyah,Ashe,Lulu,Red
Aatrox,Taliyah,Vex,Zeri,Sona,TwistedFate,Khazix,Leblanc,Lucian,Seraphine,Blue
Camille,Poppy,AurelionSol,Lucian,Nami,Malphite,Viego,Orianna,Twitch,Nautilus,Blue
Jayce,Taliyah,Lissandra,Jhin,Thresh,KSante,MasterYi,Leblanc,Corki,Nautilus,Red
Gnar,JarvanIV,Syndra,Caitlyn,Karma,Pantheon,Gwen,Kalista,Jhin,Blitzcrank,Red
Teemo,MasterYi,Skarner,Zeri,Lulu,Ornn,Viego,Akali,Jhin,Alistar,Red
Briar,Taliyah,Syndra,Caitlyn,Thresh,Mordekaiser,Khazix,Zoe,Corki,Nami,Blue
Fiora,Graves,Katarina,Kalista,Ashe,Rammus,LeeSin,Taliyah,Varus,Braum,Red
Soraka,Taliyah,Tristana,Jhin,Alistar,Yasuo,Diana,Yone,Aphelios,Rell,Red
Jhin,Sylas,Syndra,Skarner,Ashe,Qiyana,Taliyah,Vayne,Tristana,Taric,Blue
Renekton,Taliyah,Ahri,Jhin,Nautilus,Camille,Shyvana,Veigar,Twitch,Rell,Red
Gnar,Lillia,Gragas,Jinx,Nautilus,TwistedFate,Taliyah,Qiyana,Twitch,Braum,Blue
Zed,LeeSin,Azir,Aphelios,Thresh,Heimerdinger,Skarner,Corki,Veigar,Alistar,Red
Volibear,Brand,Taliyah,Draven,Nautilus,Kennen,Rammus,Orianna,Jinx,Hwei,Red
Camille,Taliyah,Tryndamere,Jhin,Nautilus,Shen,Brand,Qiyana,KogMaw,Sona,Blue
Gwen,Rammus,AurelionSol,Jhin,Leona,Skarner,Viego,TwistedFate,MissFortune,Alistar,Red
Jayce,Lillia,Yasuo,Jinx,Nautilus,Camille,Gwen,Taliyah,Kalista,Pantheon,Blue
