Champion1_Blue,Champion2_Blue,Champion3_Blue,Champion4_Blue,Champion5_Blue,Champion1_Red,Champion2_Red,Champion3_Red,Champion4_Red,Champion5_Red,Result
Gwen,Viego,Renekton,Jhin,Karma,Kayle,Kindred,Taliyah,Draven,Renata,Red
Camille,RekSai,Ahri,Veigar,Alistar,Rumble,Skarner,Tristana,Corki,Sona,Red
Renekton,Karthus,Ahri,Yasuo,Rakan,Thresh,LeeSin,Taliyah,Aphelios,Yone,Blue
Kled,MonkeyKing,Cassiopeia,Caitlyn,Ashe,Garen,Nidalee,Tristana,Jhin,Janna,Red
Akshan,MasterYi,Zac,Draven,Renata,KSante,Nidalee,Tristana,Jinx,Thresh,Red
Rumble,Maokai,Vayne,Draven,Nautilus,Pantheon,Nidalee,Tristana,Jinx,Alistar,Red
Lillia,Rengar,Lux,Kaisa,Blitzcrank,Sett,Nidalee,Tristana,Caitlyn,Morgana,Red
Quinn,JarvanIV,TwistedFate,Varus,Renata,Skarner,Nidalee,Tristana,Kaisa,Rakan,Blue
Skarner,Nidalee,Tristana,Taliyah,Thresh,Vayne,Kayn,Akali,Jhin,Milio,Blue
KSante,Kindred,Akali,Aphelios,Galio,Garen,FiddleSticks,Tristana,Lux,Morgana,Blue
Renekton,Lillia,Talon,Kaisa,Nautilus,Viego,Taliyah,Tristana,Varus,Pantheon,Red
Renekton,Taliyah,Ahri,Jinx,Milio,Singed,LeeSin,Leblanc,Twitch,Soraka,Blue
Aatrox,Evelynn,Yasuo,Jhin,Janna,Camille,Diana,Akali,Lucian,Milio,Red
Camille,Nidalee,Jayce,Draven,Nautilus,Renekton,Taliyah,Tristana,Aphelios,Alistar,Red
Renekton,Evelynn,Tristana,Lucian,Nami,Corki,Kindred,Viego,Kalista,Nautilus,Blue
Camille,Khazix,Taliyah,Draven,Nami,Tristana,Viego,Ahri,Zeri,Lulu,Red
Renekton,Nunu,Leblanc,Kalista,Alistar,Camille,Kindred,Neeko,Xayah,Soraka,Red
Urgot,Rumble,Leblanc,Aphelios,Thresh,Camille,Kindred,Orianna,Xayah,Rakan,Red
KSante,Khazix,Taliyah,MissFortune,Nami,Vayne,LeeSin,Akali,Draven,Nautilus,Blue
Riven,Sejuani,Leblanc,Ashe,Thresh,Vayne,Lillia,Tristana,Zeri,Pyke,Red
TwistedFate,Sejuani,Sylas,Varus,Ashe,Tristana,Nidalee,Jayce,Singed,Rakan,Red
Lux,LeeSin,Akali,Kaisa,TahmKench,Illaoi,Brand,Tristana,Zeri,Rakan,Red
Darius,Talon,Akali,Aphelios,Milio,Warwick,Udyr,AurelionSol,Draven,Pyke,Red
Camille,Nunu,Hwei,Jinx,Braum,Jayce,Gragas,Talon,Draven,Rumble,Red
Jax,Nidalee,Akshan,Aphelios,Rell,Viego,Kindred,Leblanc,Jinx,TahmKench,Blue
Briar,Brand,Qiyana,Zeri,Annie,Aatrox,RekSai,Taliyah,Lucian,Nami,Red
Camille,Vi,Syndra,Draven,Blitzcrank,Darius,Brand,Tristana,Corki,Milio,Red
Rumble,Viego,Yasuo,Twitch,Lulu,Olaf,Jax,Taliyah,Jinx,Blitzcrank,Red
TwistedFate,Sett,Sylas,Jhin,Bard,Rumble,Ivern,Jinx,AurelionSol,Nautilus,Red
Camille,Karthus,Akshan,KogMaw,Braum,Jax,Brand,Tristana,Kaisa,Zac,Red
Ryze,Lillia,Lucian,Varus,Zyra,Orianna,Diana,Tristana,Caitlyn,Nami,Red
Riven,Diana,Tristana,Draven,Rumble,Ryze,Viego,Zilean,Vayne,Lulu,Blue
Camille,Nunu,Leblanc,Draven,Milio,Chogath,Graves,Karthus,KogMaw,Bard,Red
Ryze,Ivern,Xerath,Twitch,Janna,Vayne,Rammus,Hwei,Jinx,Pyke,Red
Aatrox,Vi,Tristana,AurelionSol,Senna,Renekton,XinZhao,Hwei,Ashe,Braum,Red
Akali,Khazix,Corki,Jhin,Leona,Gragas,Karthus,Tristana,Kalista,Nautilus,Red
Jax,Ivern,Zed,KogMaw,Lulu,KSante,Karthus,Tristana,Jinx,Seraphine,Blue
Jayce,Sylas,Taliyah,Kalista,Maokai,KSante,TwistedFate,Nidalee,Ezreal,Ashe,Red
Leblanc,Viego,Vayne,Zeri,Alistar,Kennen,Xayah,Olaf,Taliyah,Rell,Blue
Velkoz,Olaf,Sivir,Jayce,Lux,Aatrox,Irelia,Graves,Morgana,Kaisa,Red
KSante,Viego,Leblanc,Caitlyn,Ashe,Camille,JarvanIV,Azir,Ezreal,Pyke,Blue
Zac,Nidalee,Taliyah,Varus,Ashe,Skarner,LeeSin,Hwei,Draven,Alistar,Red
Gragas,Graves,Cassiopeia,Kalista,Ezreal,Aatrox,Taliyah,Qiyana,Swain,Rell,Red
Ryze,Vi,Taliyah,Nilah,Soraka,Teemo,Viego,Hwei,Lucian,Nami,Red
Yasuo,Aphelios,Zac,Skarner,Morgana,Irelia,Annie,Darius,Ezreal,Azir,Red
Yuumi,Viktor,Thresh,Senna,Mordekaiser,Sivir,Xerath,Anivia,Caitlyn,Gangplank,Blue
Darius,Vi,Azir,Varus,Neeko,KSante,Akali,Viego,Ezreal,Nautilus,Red
Skarner,Viego,Ahri,Kaisa,Blitzcrank,Ezreal,XinZhao,Azir,Gragas,Rell,Red
Renekton,Jax,Leblanc,Draven,Alistar,Sylas,Viego,Tristana,Varus,Lulu,Red
Aatrox,Khazix,Vladimir,Twitch,Karma,Zed,Yasuo,Taliyah,Ezreal,Leona,Red
Olaf,Belveth,Kassadin,Rumble,Varus,Taliyah,LeeSin,Gragas,Jinx,Karma,Red
Riven,Kindred,Ahri,Varus,Nautilus,Rumble,Khazix,Taliyah,Jinx,Braum,Blue
KSante,Sylas,Twitch,Varus,Nautilus,Ornn,LeeSin,AurelionSol,Jinx,Renata,Red
Gnar,LeeSin,Fizz,Draven,Braum,Riven,Vi,Taliyah,Ezreal,Hwei,Red
Camille,Skarner,Hwei,Zeri,Lulu,Renekton,LeeSin,Leblanc,Jinx,Milio,Blue
Vayne,Brand,Hwei,Zeri,Nautilus,Gnar,Rammus,Taliyah,Lucian,Milio,Red
Jax,Khazix,Ahri,Jinx,Ashe,Akali,Kindred,Ryze,Kalista,Janna,Blue
Aatrox,Jax,Azir,Jinx,Bard,KSante,Riven,Hwei,Varus,Renata,Blue
Jax,Vi,Ahri,Kaisa,Blitzcrank,Darius,LeeSin,AurelionSol,Jinx,Thresh,Red
Jax,LeeSin,Orianna,Lucian,Nami,Darius,Volibear,Taliyah,Zeri,Sona,Blue
Riven,Poppy,Tristana,Varus,Rakan,Ryze,Jax,Azir,Kalista,Neeko,Red
Irelia,Khazix,Taliyah,Azir,Senna,Urgot,LeeSin,Kassadin,Jinx,Lulu,Blue
Ryze,Khazix,Ahri,Jinx,Nautilus,Pantheon,Rammus,Yone,Karthus,TwistedFate,Blue
Sett,Rammus,Katarina,Lucian,Nami,Vayne,Vi,Ashe,Hwei,Rumble,Red
Renekton,Khazix,Lux,Varus,Blitzcrank,Akali,Rengar,Azir,MissFortune,Janna,Red
Mordekaiser,LeeSin,Irelia,Draven,Nautilus,Akali,Nidalee,Tristana,Yasuo,Janna,Red
Draven,Nami,Jayce,Smolder,Ivern,Vex,Samira,LeeSin,AurelionSol,Lissandra,Blue
Yone,Singed,Taliyah,Varus,Nautilus,RekSai,Kindred,Hwei,Ashe,Karma,Blue
Garen,Jax,Diana,Jinx,Zac,Riven,Brand,Tristana,Kaisa,Alistar,Blue
Vladimir,Sejuani,Sylas,Zeri,Pyke,Urgot,Jax,Ziggs,Lucian,Nami,Red
TwistedFate,Jax,Taliyah,Kaisa,Nautilus,Garen,LeeSin,Ahri,Kalista,Janna,Blue
Riven,Viego,Taliyah,Ezreal,Blitzcrank,Renekton,Jax,Leblanc,Ashe,Janna,Blue
Renekton,Varus,Lux,Graves,Karma,Fiora,Evelynn,Tristana,Kalista,Galio,Red
Teemo,LeeSin,Tristana,Jhin,Neeko,Fiora,Rumble,Orianna,Varus,Ashe,Red
Jax,Kindred,Ahri,Kalista,Renata,Riven,Khazix,Ashe,Neeko,Alistar,Red
TwistedFate,LeeSin,Kassadin,Tristana,Rell,Jax,Nidalee,Sylas,Kalista,Nautilus,Blue
Aatrox,Zeri,Braum,Xayah,Sylas,Galio,Vi,Akali,Varus,Nautilus,Blue
Jayce,Jax,Taliyah,Varus,Ashe,Olaf,Sejuani,Sylas,Nilah,Soraka,Red
Kayle,LeeSin,Karma,Lucian,Nami,TwistedFate,Kindred,Leblanc,Jinx,Rumble,Blue
Volibear,Jayce,Taliyah,Ezreal,Bard,TwistedFate,Jax,Ahri,Kaisa,Alistar,Red
Rumble,Warwick,Galio,Draven,Nautilus,Jax,Vi,Taliyah,Kaisa,Rell,Red
Renekton,Poppy,AurelionSol,Draven,Nautilus,Rumble,LeeSin,Diana,Lucian,Nami,Red
Rumble,Vi,Azir,Lucian,Sona,Skarner,Jax,Taliyah,Draven,Janna,Blue
Olaf,LeeSin,Hwei,Draven,Karma,Tryndamere,Nocturne,Zac,Ashe,Janna,Red
Xayah,Viego,AurelionSol,Aatrox,Rakan,Yone,Shaco,Orianna,Tristana,Rell,Blue
Aatrox,JarvanIV,Akali,Aphelios,Ashe,Renekton,LeeSin,Galio,Jinx,Alistar,Red
Akali,Kindred,Corki,Ashe,Braum,Sion,LeeSin,Ryze,Xayah,Rakan,Blue
Warwick,Khazix,Leblanc,Jhin,Xerath,Fiora,Volibear,Azir,Ashe,Renata,Red
Fiora,Jax,Annie,Lucian,Sona,Akali,Khazix,Jinx,Neeko,Maokai,Blue
Irelia,Khazix,Akali,Lucian,Ashe,Kled,Evelynn,Leblanc,Draven,Renata,Red
Tryndamere,XinZhao,Leblanc,Ashe,Rakan,Gnar,Khazix,Tristana,Zeri,Rumble,Blue
Vayne,LeeSin,Taliyah,Ezreal,Camille,Corki,Vi,Leblanc,Kaisa,Zac,Blue
Fiora,Viego,Nautilus,Varus,Leblanc,TwistedFate,Kindred,Hwei,Gragas,Pyke,Red
Gragas,Kindred,Taliyah,Draven,Alistar,Aatrox,LeeSin,AurelionSol,Tristana,Rell,Red
Fiora,Jax,Yasuo,Xayah,Nautilus,Gragas,Kindred,Taliyah,Jinx,Alistar,Red
Gragas,Vi,Ahri,Varus,Ashe,Jax,LeeSin,Azir,Lucian,Nami,Red
Camille,LeeSin,Kassadin,Jinx,Blitzcrank,Renekton,JarvanIV,AurelionSol,Varus,Ashe,Red
Gnar,Taliyah,Gragas,Ezreal,Alistar,Jax,Brand,Hwei,Varus,Camille,Blue
Jayce,Khazix,AurelionSol,Jinx,Rumble,Aatrox,Zed,Azir,Lucian,Nami,Blue
Aatrox,Viego,Azir,Aphelios,Rakan,Riven,JarvanIV,Orianna,Ashe,Karma,Red
Tryndamere,Kindred,Taliyah,Kalista,Ashe,Malphite,Belveth,Lux,Yasuo,Blitzcrank,Red
Jayce,Elise,Taliyah,Draven,Karma,Gangplank,Kayn,Galio,Kaisa,Nautilus,Red
Aatrox,Viego,Hwei,Zeri,Nautilus,Skarner,Draven,AurelionSol,LeeSin,Leona,Red
Rengar,Nocturne,Lissandra,Aphelios,Nautilus,Fiora,Kindred,Taliyah,Jinx,Renata,Red
Zac,LeeSin,Ashe,Jinx,Corki,TwistedFate,Viego,Azir,Brand,Bard,Blue
Taliyah,LeeSin,Poppy,Zeri,Lulu,Rengar,Jax,Corki,Kaisa,Nautilus,Blue
Rengar,Nocturne,Senna,Ezreal,Orianna,Jax,Viego,AurelionSol,Draven,Janna,Blue
KSante,Sylas,Orianna,Zeri,Rakan,Zac,Kindred,AurelionSol,Tristana,Nautilus,Blue
Aatrox,Belveth,Taliyah,Neeko,Nautilus,Jayce,Rengar,Hwei,Kaisa,Galio,Blue
Renekton,JarvanIV,Syndra,Varus,Neeko,Vayne,Taliyah,Tristana,Draven,Blitzcrank,Blue
Gragas,Yasuo,Taliyah,Jax,Ashe,Gangplank,Poppy,Corki,Jinx,Lulu,Red
Fiora,Jax,Sylas,Draven,Nautilus,Renekton,Viego,Taliyah,Senna,TahmKench,Red
Yasuo,Khazix,Hwei,Jinx,Lulu,Camille,Belveth,Taliyah,Zeri,Pyke,Red
Akali,Khazix,Qiyana,Varus,Rakan,Kennen,Viego,Taliyah,Jinx,Rumble,Red
Camille,Evelynn,Taliyah,Draven,Renata,Ryze,Gragas,Akshan,Yasuo,Senna,Red
Yone,Viego,Azir,Nilah,Taric,Camille,Nidalee,Tristana,Varus,Nautilus,Blue
TwistedFate,Brand,Akali,Xayah,Rakan,Fiora,Kindred,Taliyah,Jinx,Rell,Blue
Jax,LeeSin,Akali,Varus,Pyke,Fiora,Brand,Taliyah,Zeri,Camille,Red
Gragas,Brand,Tristana,Ashe,Rumble,Jax,JarvanIV,Syndra,Jinx,Thresh,Blue
Fiora,Kindred,Akali,Kalista,Camille,Kennen,Elise,Taliyah,Ezreal,Rumble,Blue
Jax,Viego,AurelionSol,Lucian,Nami,Varus,LeeSin,Yasuo,Gragas,Nautilus,Red
Irelia,Brand,Orianna,Jinx,Thresh,TwistedFate,Volibear,Tristana,Ashe,Neeko,Blue
Aatrox,Brand,Azir,Kalista,Rell,Jax,Taliyah,Jinx,Tristana,Janna,Blue
Skarner,Jax,Corki,Kalista,Rumble,Jayce,Viego,Azir,Xayah,Rakan,Red
Fiora,Sylas,Taliyah,Lucian,Nami,Leblanc,LeeSin,Hwei,Jinx,Nautilus,Red
Ornn,Nunu,Ekko,Aphelios,Thresh,Jinx,Taliyah,Galio,Gnar,Rell,Blue
Gragas,LeeSin,AurelionSol,Varus,Nautilus,Zeri,Kayn,Karma,Jayce,Lulu,Blue
Camille,Taliyah,Zac,Vayne,Nautilus,Riven,Lillia,Garen,Kaisa,Poppy,Blue
Kayle,Lillia,Garen,Zeri,Braum,Camille,Khazix,Tristana,Kalista,Nautilus,Red
Malphite,RekSai,Sylas,Vayne,Rell,Ryze,Nidalee,Tristana,Draven,Pyke,Blue
Camille,Lillia,Zilean,Ashe,Janna,TwistedFate,Nunu,Tristana,Jhin,Zyra,Red
Shen,Taliyah,Draven,Jinx,Milio,Trundle,Nunu,Tristana,MissFortune,Leona,Red
Irelia,Brand,Tristana,Jhin,Janna,Jax,Khazix,Gragas,Varus,Rumble,Blue
Jax,JarvanIV,Hwei,Varus,Thresh,Gragas,Nunu,Corki,Caitlyn,Morgana,Red
Qiyana,Taliyah,Lucian,Ziggs,Alistar,Aatrox,FiddleSticks,Ahri,Caitlyn,Nautilus,Blue
Camille,Nidalee,Orianna,Varus,Rakan,Tristana,Volibear,Vladimir,Corki,Pyke,Blue
Olaf,LeeSin,Taliyah,Caitlyn,Milio,Volibear,Shaco,Akshan,Jhin,Lux,Red
Volibear,JarvanIV,Hwei,Aphelios,Sona,Zac,Rengar,Kalista,Lucian,Nami,Blue
Poppy,Taliyah,Syndra,Corki,Nautilus,Volibear,Viego,Seraphine,Ezreal,Sona,Blue
Renekton,LeeSin,Ahri,Draven,Corki,Rengar,JarvanIV,Rumble,Jhin,Annie,Red
Ahri,Bard,Akali,Karma,Akshan,Blitzcrank,TwistedFate,Quinn,Skarner,Syndra,Red
Zoe,Graves,Azir,Ekko,Illaoi,Nami,Jinx,Gragas,Ashe,Rumble,Red
Jax,Taliyah,Tristana,Xayah,Nautilus,Gragas,Vi,Orianna,Jhin,Leona,Blue
TwistedFate,Lillia,Hwei,Tristana,Leona,Renekton,Karthus,Ahri,Senna,Nautilus,Red
Ornn,Brand,Tristana,Corki,Nami,Camille,Khazix,Taliyah,Varus,Nautilus,Red
Skarner,JarvanIV,Azir,Jhin,Ashe,Gwen,Sejuani,Viktor,Caitlyn,Nautilus,Blue
Ornn,Karthus,Irelia,Jinx,Nautilus,Vayne,Lillia,Zoe,Twitch,Alistar,Blue
Tryndamere,Hecarim,Xerath,Lucian,Nami,Jax,Ivern,Garen,Jinx,Lulu,Red
Skarner,RekSai,Sylas,Draven,Sona,Camille,Kindred,Syndra,Jhin,Leona,Blue
Irelia,Kindred,AurelionSol,Kaisa,Braum,Gnar,Skarner,Tristana,Caitlyn,Karma,Red
KogMaw,LeeSin,Irelia,Lucian,Milio,Camille,Vi,Cassiopeia,Varus,Corki,Blue
Skarner,Kindred,Corki,Ezreal,Seraphine,Yasuo,Kayn,TwistedFate,Varus,Ashe,Red
Camille,Nidalee,Annie,Kalista,Nautilus,LeeSin,Rammus,Taliyah,Lucian,Nami,Red
Skarner,JarvanIV,Hwei,Varus,Seraphine,Zac,Ahri,Viego,Kalista,Corki,Blue
Yasuo,Ivern,Thresh,Aphelios,Katarina,Tryndamere,Kindred,Kassadin,Senna,Ornn,Blue
Vladimir,LeeSin,Naafiri,Caitlyn,Rumble,Mordekaiser,Amumu,Tristana,Lucian,Pyke,Blue
Riven,Lillia,Zac,Corki,Braum,Skarner,Taliyah,TwistedFate,Jhin,Nautilus,Red
Aatrox,Ekko,XinZhao,Corki,Lux,Vayne,JarvanIV,Akshan,Lucian,Nami,Red
Poppy,Taliyah,Tristana,Corki,Seraphine,Tryndamere,Brand,Yasuo,Lucian,Nami,Red
Olaf,Hecarim,Kassadin,Caitlyn,Karma,Poppy,Udyr,Tristana,Jhin,Janna,Red
Vladimir,LeeSin,Zac,Corki,Nautilus,Volibear,Brand,Akshan,Kalista,Poppy,Red
Poppy,Jax,Hwei,Kalista,Rumble,Kennen,Udyr,Corki,Jhin,Xerath,Blue
Camille,Udyr,Tristana,Zeri,Pyke,Warwick,Nidalee,Corki,KogMaw,Braum,Blue
Darius,JarvanIV,Kaisa,Aphelios,Soraka,Irelia,Taliyah,Corki,Jinx,Rakan,Red
Zac,Khazix,Skarner,MissFortune,Ashe,Gwen,LeeSin,Corki,Kalista,Poppy,Blue
Zac,Lillia,Jayce,Caitlyn,Janna,Irelia,MasterYi,Katarina,Varus,Blitzcrank,Blue
Akali,Hecarim,Ahri,Jhin,Senna,Vladimir,XinZhao,Taliyah,Lucian,Nami,Blue
LeeSin,Taliyah,Tristana,Zeri,Seraphine,Mordekaiser,Nidalee,Talon,Lucian,Milio,Blue
Malphite,Kindred,Ahri,Lucian,Nami,Gwen,Jax,Orianna,Aphelios,Lulu,Blue
Skarner,Jax,Katarina,Karma,Caitlyn,Vayne,JarvanIV,Taliyah,Jhin,Hwei,Red
Trundle,Viego,Hwei,Jhin,Alistar,Camille,Maokai,Taliyah,Twitch,Milio,Red
Corki,Udyr,Zilean,Camille,Nautilus,Sett,Kayn,AurelionSol,Jhin,Rell,Red
Nasus,Nidalee,Zoe,Aphelios,Nami,Gnar,Khazix,Akali,Lucian,Pyke,Blue
Camille,Skarner,Neeko,Corki,Nautilus,Gwen,LeeSin,Leblanc,Caitlyn,Braum,Red
Kayle,LeeSin,Hwei,Jinx,Karma,Jayce,JarvanIV,Taliyah,Jhin,TwistedFate,Red
Camille,Kayn,Hwei,Corki,Alistar,Renekton,Khazix,Lux,Kalista,Rell,Red
Irelia,LeeSin,Diana,Samira,Camille,KSante,Taliyah,Vladimir,Aphelios,Thresh,Red
Viego,Taliyah,Aatrox,Jhin,Xerath,Riven,Maokai,Jayce,Caitlyn,Ashe,Blue
Akali,Khazix,TwistedFate,Corki,Nautilus,Jax,Brand,Rakan,Jhin,Rell,Blue
Singed,Karthus,Katarina,Caitlyn,Braum,Camille,Khazix,Neeko,Kalista,Renata,Red
Camille,Vi,Syndra,Lucian,Nami,Jax,Lillia,Corki,Varus,Nautilus,Red
Camille,Viego,Viktor,Aphelios,Seraphine,Jax,Graves,Akali,Jinx,Rell,Red
Rumble,Taliyah,Zed,Kaisa,Pyke,Aatrox,Skarner,AurelionSol,Jhin,Sona,Red
Camille,Volibear,Hwei,Corki,Blitzcrank,Aatrox,Taliyah,Yasuo,Caitlyn,Lux,Blue
TwistedFate,Nidalee,Tristana,Jinx,Braum,Jax,Taliyah,Leblanc,Aphelios,Thresh,Red
Viego,Talon,Rumble,Xerath,Blitzcrank,Ryze,Khazix,Corki,Jinx,Renata,Blue
Fiora,Vi,Leblanc,Varus,Thresh,Tryndamere,RekSai,Taliyah,Jhin,Nautilus,Blue
Volibear,Brand,Tristana,Varus,Alistar,Gnar,Vi,Taliyah,Draven,Rell,Blue
Jax,LeeSin,Lucian,Cassiopeia,Milio,KSante,Nidalee,Tristana,Aphelios,Thresh,Blue
Gwen,LeeSin,Hwei,Aphelios,Lulu,Riven,Kayn,TwistedFate,Lucian,Nami,Red
Rumble,LeeSin,Tristana,Varus,Zoe,Urgot,Nidalee,Karma,Lucian,Nami,Red
Jayce,Diana,Yasuo,Taliyah,Kalista,Aatrox,Viego,Katarina,Varus,Ashe,Red
Vayne,Morgana,Tristana,Smolder,Rell,Volibear,Skarner,Malzahar,Jhin,Nami,Red
Rumble,Nidalee,Tristana,Jinx,Lulu,Kassadin,Hecarim,Lucian,Jhin,Zilean,Red
Gragas,Poppy,Irelia,Kalista,Ashe,Riven,Rammus,Kaisa,Akali,Pyke,Blue
Renekton,Nidalee,Veigar,Corki,Alistar,Camille,Taliyah,Tristana,Lucian,Nami,Red
Gangplank,Vi,Hwei,Zeri,Rakan,Malphite,Khazix,Karthus,Kalista,Poppy,Red
Kennen,Kayn,Tristana,Lucian,Nami,Camille,Viego,Azir,Kalista,Ashe,Blue
Ornn,LeeSin,Ahri,Kaisa,Rell,Nautilus,Khazix,Diana,Sivir,Camille,Red
Urgot,Nidalee,Akshan,Jhin,Blitzcrank,Kayle,LeeSin,Katarina,Smolder,Zilean,Blue
Jayce,Viego,Ziggs,Tristana,Zilean,Warwick,LeeSin,Hwei,MissFortune,Neeko,Blue
Teemo,MasterYi,Skarner,Zeri,Lulu,Ornn,Viego,Akali,Jhin,Alistar,Red
Tryndamere,Diana,Skarner,Lucian,Nami,Teemo,Lillia,Yone,Caitlyn,Milio,Red
Riven,Elise,Zoe,Corki,Lulu,Ornn,Brand,Tristana,Lucian,Nami,Red
Skarner,Viego,TwistedFate,Lucian,Nami,Illaoi,Briar,Zed,Senna,Seraphine,Blue
Fiora,Jax,Malzahar,Ashe,Sona,Varus,Taliyah,Hwei,Kalista,Pantheon,Red
Ornn,Jax,Hwei,Caitlyn,Lux,Kennen,Diana,Irelia,Jhin,Blitzcrank,Red
Camille,Udyr,Skarner,Caitlyn,Kalista,Sett,Lillia,Zed,Lucian,Nami,Blue
Riven,Nunu,Yone,Jinx,Nami,Camille,Shaco,Irelia,Draven,Vi,Blue
Riven,Brand,Seraphine,Jinx,Karma,Ryze,Poppy,Irelia,AurelionSol,Pyke,Red
TwistedFate,Graves,Ahri,Zeri,Nautilus,FiddleSticks,Jax,Jayce,Xayah,Rakan,Red
Sion,LeeSin,Leblanc,Corki,Nami,Sett,Graves,Akali,Lucian,Milio,Blue
Fiora,Nidalee,Viego,Nautilus,Senna,Galio,LeeSin,Akali,Lucian,Nami,Red
Vayne,Graves,Azir,Jhin,Rumble,Malphite,Gragas,Irelia,Draven,Pyke,Red
Aatrox,Kindred,Taliyah,Jinx,Leona,Riven,Vi,Katarina,Caitlyn,Lux,Red
Gwen,Khazix,Katarina,Sivir,Camille,Vayne,Taliyah,Zed,Kalista,Nautilus,Red
Teemo,Kayn,Hwei,Jhin,Rumble,Viego,Diana,Taliyah,Samira,Zac,Blue
Quinn,Volibear,Tristana,Zeri,Alistar,Riven,Kindred,TwistedFate,Caitlyn,Karma,Red
Camille,Lillia,Tristana,Jhin,Bard,Urgot,Kayn,Rumble,Jinx,Soraka,Blue
Renekton,Lillia,Tristana,Kalista,Soraka,Irelia,Khazix,Rell,Varus,Leblanc,Blue
Shyvana,Khazix,Viktor,Jinx,Alistar,Vayne,Lillia,Zed,Jhin,Maokai,Blue
Jinx,Brand,Yasuo,Malphite,Alistar,Sylas,Jax,Akshan,Jhin,Lux,Red
Camille,MasterYi,Lux,Kalista,Renata,Jax,LeeSin,Leblanc,Samira,Pyke,Red
Ornn,Taliyah,Seraphine,Kaisa,Pyke,Vayne,Brand,Tristana,Corki,Janna,Red
Gwen,LeeSin,Sylas,Aphelios,Janna,Viego,Khazix,Karma,Lucian,Nami,Red
Gnar,Taliyah,Corki,Aphelios,Nami,Camille,Ivern,Tristana,Draven,Janna,Red
Renekton,Volibear,Hwei,Varus,Ashe,Gangplank,Taliyah,Zed,Jhin,Karma,Red
Riven,Kayn,Veigar,Aphelios,Annie,Volibear,Kindred,Taliyah,Kalista,Neeko,Red
Riven,Nidalee,Tristana,Sivir,Annie,Varus,Lillia,Lucian,Kaisa,Nautilus,Blue
Yone,Brand,Zed,Kalista,Thresh,Fiora,Taliyah,Lucian,Ashe,Blitzcrank,Red
TahmKench,Graves,Irelia,Corki,Renata,Vayne,Viego,Akali,Draven,Blitzcrank,Red
Urgot,Brand,Syndra,Caitlyn,Bard,Zilean,LeeSin,Tristana,Zeri,Nautilus,Red
Skarner,Vi,AurelionSol,Ezreal,Nami,Illaoi,Kindred,TwistedFate,Lucian,Milio,Red
Ryze,JarvanIV,Tristana,Aphelios,Taric,Irelia,Taliyah,Yone,Jinx,Lulu,Red
Gwen,Skarner,Talon,Twitch,Rakan,Singed,Shaco,Vladimir,Zeri,Lulu,Blue
Ryze,Elise,Hwei,Senna,Ezreal,Varus,Hecarim,Leblanc,Zeri,Nautilus,Blue
Sett,Khazix,TwistedFate,Kaisa,Nautilus,Jax,Gragas,Hecarim,Draven,Janna,Blue
Rumble,Taliyah,Viego,Corki,Rell,Gwen,Gragas,Tristana,Varus,Ashe,Red
Kayle,Skarner,Ahri,Draven,Janna,Viego,Diana,Orianna,Aphelios,Nautilus,Blue
KSante,LeeSin,Veigar,Corki,Soraka,Malphite,Hecarim,Lux,Aphelios,Pyke,Red
Rumble,Viego,Yasuo,Samira,Soraka,Sett,Khazix,Kassadin,Aphelios,Thresh,Red
Camille,Graves,Leblanc,Ezreal,Thresh,Tryndamere,Vi,Akali,Vayne,Draven,Blue
Qiyana,Sivir,Renekton,Seraphine,Akali,Teemo,Aphelios,Ivern,Viktor,Taliyah,Blue
Janna,Gragas,Zeri,Xayah,Tristana,Malzahar,Ahri,Graves,Aatrox,Akali,Blue
Kled,Karthus,Ahri,Draven,Rell,Urgot,Poppy,Corki,Twitch,Braum,Blue
Malphite,Kindred,Ziggs,Jinx,Annie,Sylas,LeeSin,Akshan,Seraphine,Soraka,Blue
AurelionSol,Hecarim,Leblanc,Aphelios,Rakan,TwistedFate,Ivern,Taliyah,Ezreal,Nami,Red
Fiora,Zeri,Diana,Draven,Camille,Akali,Khazix,Neeko,Jinx,Alistar,Red
Skarner,Kayn,Azir,Jhin,Rumble,Camille,Karthus,Zed,Varus,Rell,Blue
Cassiopeia,Ekko,Pyke,Xayah,TwistedFate,Irelia,FiddleSticks,Taliyah,Kaisa,Bard,Blue
Camille,Viego,Qiyana,Draven,Neeko,Yone,Nautilus,Taliyah,Varus,Vi,Red
TwistedFate,Zeri,Azir,Kalista,Lulu,Irelia,Evelynn,Talon,Nami,Lucian,Blue
Ornn,Vi,Ahri,Varus,Janna,Gangplank,LeeSin,Leblanc,Nautilus,Senna,Blue
Teemo,Briar,AurelionSol,Kalista,Rell,Skarner,Brand,Senna,Tristana,TahmKench,Red
Teemo,Jax,Sylas,Kalista,Camille,Darius,Diana,Jinx,Yone,Lulu,Red
Gragas,LeeSin,Fiora,Lucian,Nami,Ornn,RekSai,Lux,Ezreal,Karma,Red
TwistedFate,Brand,Tristana,Kaisa,Nautilus,Jax,Evelynn,Jayce,Varus,Hwei,Red
LeeSin,Neeko,Zed,Jinx,Nautilus,MonkeyKing,Belveth,Ryze,Draven,Alistar,Red
Riven,Taliyah,Belveth,MissFortune,Pyke,Gragas,Rengar,Corki,Kaisa,Galio,Red
Renekton,LeeSin,Leblanc,Jinx,Galio,Warwick,Rengar,Azir,Twitch,Lulu,Red
